industrial-classification-2003	name	parent	full_code	start-date	end-date
Q	Extra-territorial Organisation and Bodies		Q		
P	Private Households Employing Staff and Undifferentiated Production Activities of		P		
O	Other Community, Social and Personal Service Activities		O		
N	Health and Social Work		N		
M	Education		M		
L	Public Administration and Defence; Compulsory Social Security		L		
K	Real Estate, Renting and Business Activities		K		
J	Financial Intermediation		J		
I	Transport, Storage and Communication		I		
H	Hotels and Restaurants		H		
G	Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and		G		
F	Construction		F		
E	Electricity, Gas and Water Supply		E		
DN	Manufacturing Not Elsewhere Classified	industrial-classification-2003:D	DN		
DM	Manufacture of Transport Equipment	industrial-classification-2003:D	DM		
DL	Manufacture of Electrical and Optical Equipment	industrial-classification-2003:D	DL		
DK	Manufacture of Machinery and Equipment Not Elsewhere Classified	industrial-classification-2003:D	DK		
DJ	Manufacture of Basic Metals and Fabricated Metal Products	industrial-classification-2003:D	DJ		
DI	Manufacture of Other Non-metallic Mineral Products	industrial-classification-2003:D	DI		
DH	Manufacture of Rubber and Plastic Products	industrial-classification-2003:D	DH		
DG	Manufacture of Chemicals, Chemical Products and Man-made Fibres	industrial-classification-2003:D	DG		
DF	Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel	industrial-classification-2003:D	DF		
DE	Manufacture of Pulp, Paper and Paper Products Publishing and Printing	industrial-classification-2003:D	DE		
DD	Manufacture of Wood and Wood Products	industrial-classification-2003:D	DD		
DC	Manufacture of Leather and Leather Products	industrial-classification-2003:D	DC		
DB	Manufacture of Textiles and Textile Products	industrial-classification-2003:D	DB		
DA	Manufacture of Food Products, Beverages and Tobacco	industrial-classification-2003:D	DA		
D	Manufacturing		D		
CB	Mining and Quarrying Except Energy Producing Materials	industrial-classification-2003:C	CB		
CA	Mining and Quarrying of Energy Producing Materials	industrial-classification-2003:C	CA		
C	Mining and Quarrying		C		
B	Fishing		B		
A	Agriculture, Hunting and Forestry		A		
99.00	Extra-territorial organisations and bodies	industrial-classification-2003:99	Q99.00		
99.0	Extra-territorial organisations and bodies	industrial-classification-2003:99	Q99.0		
99	Extra-territorial Organisations and Bodies	industrial-classification-2003:Q	Q99		
97.00	Undifferentiated services producing activities of private households for own use	industrial-classification-2003:97	P97.00		
97.0	Undifferentiated services producing activities of private households for own use	industrial-classification-2003:97	P97.0		
97	Undifferentiated Services Producing Activities of Private Households for Own Use	industrial-classification-2003:P	P97		
96.00	Undifferentiated goods producing activities of private households for own use	industrial-classification-2003:96	P96.00		
96.0	Undifferentiated goods producing activities of private households for own use	industrial-classification-2003:96	P96.0		
96	Undifferentiated Goods Producing Activities of Private Households for Own Use	industrial-classification-2003:P	P96		
95.00	Activities of households as employers of domestic staff	industrial-classification-2003:95	P95.00		
95.0	Activities of households as employers of domestic staff	industrial-classification-2003:95	P95.0		
95	Activities of Households as Employers of Domestic Staff	industrial-classification-2003:P	P95		
93.05/9	Other service activities not elsewhere classified	industrial-classification-2003:93.05	O93.05/9		
93.05/1	Operation of coin-operated photographic machines	industrial-classification-2003:93.05	O93.05/1		
93.05	Other service activities not elsewhere classified	industrial-classification-2003:93	O93.05		
93.04	Physical well-being activities	industrial-classification-2003:93	O93.04		
93.03	Funeral and related activities	industrial-classification-2003:93	O93.03		
93.02	Hairdressing and other beauty treatment	industrial-classification-2003:93	O93.02		
