industrial-classification-2007	name	parent	start-date	end-date
U	Activities of extraterritorial organisations and bodies			
This division includes the provision of remediation services, i.e. the cleanup of contaminated buildings and sites, soil, surface or ground water.		industrial-classification-2007:E		
T	Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use			
S	Other service activities			
R	Arts, entertainment and recreation			
Q	Human health and social work activities			
P	Education			
O	Public administration and defence; compulsory social security			
N	Administrative and support service activities			
M	Professional, scientific and technical activities			
L	Real estate activities			
K	Financial and insurance activities			
J	Information and communication			
I	Accommodation and food service activities			
H	Transportation and storage			
G	Wholesale and retail trade; repair of motor vehicles and motorcycles			
F	Construction			
E	Water supply; sewerage, waste management and remediation activities			
D	Electricity, gas, steam and air conditioning supply			
C	Manufacturing			
B	Mining and quarrying			
A	Agriculture, forestry and fishing			
99.00	Activities of extraterritorial organisations and bodies	industrial-classification-2007:99.0		
99.0	Activities of extraterritorial organisations and bodies	industrial-classification-2007:99		
99	Activities of extraterritorial organisations and bodies	industrial-classification-2007:U		
98.20	Undifferentiated service-producing activities of private households for own use	industrial-classification-2007:98.2		
98.2	Undifferentiated service-producing activities of private households for own use	industrial-classification-2007:98		
98.10	Undifferentiated goods-producing activities of private households for own use	industrial-classification-2007:98.1		
98.1	Undifferentiated goods-producing activities of private households for own use	industrial-classification-2007:98		
98	Undifferentiated goods- and services-producing activities of private households for own use	industrial-classification-2007:T		
97.00	Activities of households as employers of domestic personnel	industrial-classification-2007:97.0		
97.0	Activities of households as employers of domestic personnel	industrial-classification-2007:97		
97	Activities of households as employers of domestic personnel	industrial-classification-2007:T		
96.09	Other personal service activities n.e.c.	industrial-classification-2007:96.0		
96.04	Physical well-being activities	industrial-classification-2007:96.0		
96.03	Funeral and related activities	industrial-classification-2007:96.0		
96.02	Hairdressing and other beauty treatment	industrial-classification-2007:96.0		
96.01	Washing and (dry-)cleaning of textile and fur products	industrial-classification-2007:96.0		
96.0	Other personal service activities	industrial-classification-2007:96		
96	Other personal service activities	industrial-classification-2007:S		
95.29	Repair of other personal and household goods	industrial-classification-2007:95.2		
95.25	Repair of watches, clocks and jewellery	industrial-classification-2007:95.2		
95.24	Repair of furniture and home furnishings	industrial-classification-2007:95.2		
95.23	Repair of footwear and leather goods	industrial-classification-2007:95.2		
95.22	Repair of household appliances and home and garden equipment	industrial-classification-2007:95.2		
95.21	Repair of consumer electronics	industrial-classification-2007:95.2		
95.2	Repair of personal and household goods	industrial-classification-2007:95		
95.12	Repair of communication equipment	industrial-classification-2007:95.1		
95.11	Repair of computers and peripheral equipment	industrial-classification-2007:95.1		
95.1	Repair of computers and communication equipment	industrial-classification-2007:95		
95	Repair of computers and personal and household goods	industrial-classification-2007:S		
94.99	Activities of other membership organisations n.e.c.	industrial-classification-2007:94.9		
94.92	Activities of political organisations	industrial-classification-2007:94.9		
94.91	Activities of religious organisations	industrial-classification-2007:94.9		
94.9	Activities of other membership organisations	industrial-classification-2007:94		
94.20	Activities of trade unions	industrial-classification-2007:94.2		
94.2	Activities of trade unions	industrial-classification-2007:94		
94.12	Activities of professional membership organisations	industrial-classification-2007:94.1		
94.11	Activities of business and employers membership organisations	industrial-classification-2007:94.1		
94.1	Activities of business, employers and professional membership organisations	industrial-classification-2007:94		
94	Activities of membership organisations	industrial-classification-2007:S		
93.29	Other amusement and recreation activities	industrial-classification-2007:93.2		
93.21	Activities of amusement parks and theme parks	industrial-classification-2007:93.2		
93.2	Amusement and recreation activities	industrial-classification-2007:93		
