industrial-classification-correlation	source	target	start-date	end-date
1	industrial-classification-2003:01.11	industrial-classification-2007:01.11		
2	industrial-classification-2003:01.12	industrial-classification-2007:01.11		
3	industrial-classification-2003:01.11	industrial-classification-2007:01.12		
4	industrial-classification-2003:01.11	industrial-classification-2007:01.13		
5	industrial-classification-2003:01.12	industrial-classification-2007:01.13		
6	industrial-classification-2003:01.11	industrial-classification-2007:01.14		
7	industrial-classification-2003:01.11	industrial-classification-2007:01.15		
8	industrial-classification-2003:01.11	industrial-classification-2007:01.16		
9	industrial-classification-2003:01.11	industrial-classification-2007:01.19		
10	industrial-classification-2003:01.12	industrial-classification-2007:01.19		
11	industrial-classification-2003:01.13/1	industrial-classification-2007:01.21		
12	industrial-classification-2003:01.13/9	industrial-classification-2007:01.22		
13	industrial-classification-2003:01.13/9	industrial-classification-2007:01.23		
14	industrial-classification-2003:01.13/9	industrial-classification-2007:01.24		
15	industrial-classification-2003:01.12	industrial-classification-2007:01.25		
16	industrial-classification-2003:01.13/9	industrial-classification-2007:01.25		
17	industrial-classification-2003:01.11	industrial-classification-2007:01.26		
18	industrial-classification-2003:01.13/9	industrial-classification-2007:01.26		
19	industrial-classification-2003:01.13/9	industrial-classification-2007:01.27		
20	industrial-classification-2003:01.11	industrial-classification-2007:01.28		
21	industrial-classification-2003:01.12	industrial-classification-2007:01.28		
22	industrial-classification-2003:01.13/9	industrial-classification-2007:01.28		
23	industrial-classification-2003:01.11	industrial-classification-2007:01.29		
24	industrial-classification-2003:02.01	industrial-classification-2007:01.29		
25	industrial-classification-2003:01.12	industrial-classification-2007:01.30		
26	industrial-classification-2003:01.21	industrial-classification-2007:01.41		
27	industrial-classification-2003:01.21	industrial-classification-2007:01.42		
28	industrial-classification-2003:01.22	industrial-classification-2007:01.43		
29	industrial-classification-2003:01.25	industrial-classification-2007:01.44		
30	industrial-classification-2003:01.22	industrial-classification-2007:01.45		
31	industrial-classification-2003:01.23	industrial-classification-2007:01.46		
32	industrial-classification-2003:01.24	industrial-classification-2007:01.47		
33	industrial-classification-2003:01.22	industrial-classification-2007:01.49		
34	industrial-classification-2003:01.25	industrial-classification-2007:01.49		
35	industrial-classification-2003:01.30	industrial-classification-2007:01.50		
36	industrial-classification-2003:01.41	industrial-classification-2007:01.61		
37	industrial-classification-2003:01.42/1	industrial-classification-2007:01.62/1		
38	industrial-classification-2003:01.42/9	industrial-classification-2007:01.62/9		
39	industrial-classification-2003:92.72/9	industrial-classification-2007:01.62/9		
40	industrial-classification-2003:01.11	industrial-classification-2007:01.63		
41	industrial-classification-2003:01.13/9	industrial-classification-2007:01.63		
42	industrial-classification-2003:01.41	industrial-classification-2007:01.63		
43	industrial-classification-2003:01.11	industrial-classification-2007:01.64		
44	industrial-classification-2003:01.12	industrial-classification-2007:01.64		
45	industrial-classification-2003:01.13/9	industrial-classification-2007:01.64		
46	industrial-classification-2003:01.41	industrial-classification-2007:01.64		
47	industrial-classification-2003:01.50	industrial-classification-2007:01.70		
48	industrial-classification-2003:01.12	industrial-classification-2007:02.10		
49	industrial-classification-2003:02.01	industrial-classification-2007:02.10		
50	industrial-classification-2003:02.01	industrial-classification-2007:02.20		
