sic2003	sic80	activity
15.97	4170	Barley malting
25.22	4724	Boxes made of plastic
29.14	6262	Cylindrical roller bearing
29.323	3211	Dairy appliances and utensils
28.75	4836	Domestic hollow ware made of plastic
33.10	3435	Electrochemical apparatus for industrial use
51.47	6190	Fancy goods
51.54	6149	Ironmonger
75.22	9151	Ministry of Defence Headquarters
74.85	8396	Multigraphing
74.14/3	8395	Overall planning, structuring and control of organisation consultancy services
24.52	2562	Perfume
32.20/1	3441	Picture transmitter
32.20/1	3441	Repair and maintenance of cellular telephones
52.62	0064	5 Stall sales
15.96	4370	Stout brewing
51.47	6190	Travel accessories
51.47	6190	Travel and fancy goods exporter
51.47	6190	Travel and fancy goods importer
96.00	  NA	Undifferentiated goods producing activities of private households for own use
97.00	  NA	Undifferentiated services producing activities of private households for own use
51.47/9	6149	Y achts
91.33	9690	YM A
